Medición;Fecha;Estación_año;Año;Mes;Feriado;Día_semana;Día_laboral;Clima;Temperatura;Sensación_térmica;Humedad;Velocidad_viento;Usuarios_casuales;Usuarios_registrados;Ventas;Pib;Pib_cápita;Var_IPC_anual[%];Fecha
29;2011-01-29;1;0;1;0;6;0;1;8,1;10,6;65,2;9,7;123,0;975,0;1098,0;44693,0;4100,0;3,60;2011-01-29
30;2011-01-30;1;0;1;0;0;0;1;8,9;12,5;72,2;5,0;140,0;956,0;1096,0;44693,0;4100,0;3,60;2011-01-30
31;2011-01-31;1;0;1;0;1;1;2;7,4;9,3;60,4;12,5;42,0;1459,0;1501,0;44693,0;4100,0;3,60;2011-01-31
32;2011-02-01;1;0;2;0;2;1;2;7,9;11,7;83,0;3,6;47,0;1313,0;1360,0;44693,0;4100,0;3,56;2011-02-01
33;2011-02-02;1;0;2;0;3;1;2;10,7;12,7;77,5;17,7;72,0;1454,0;1526,0;44693,0;4100,0;3,56;2011-02-02
34;2011-02-03;1;0;2;0;4;1;1;7,7;8,9;43,8;18,6;61,0;1489,0;1550,0;44693,0;4100,0;3,56;2011-02-03
35;2011-02-04;1;0;2;0;5;1;2;8,7;11,4;58,5;8,6;88,0;1620,0;1708,0;44693,0;4100,0;3,56;2011-02-04
36;2011-02-05;1;0;2;0;6;0;2;9,6;12,2;92,9;10,8;100,0;905,0;1005,0;44693,0;4100,0;3,56;2011-02-05
37;2011-02-06;1;0;2;0;0;0;1;11,7;14,6;56,8;9,5;354,0;1269,0;1623,0;44693,0;4100,0;3,56;2011-02-06
38;2011-02-07;1;0;2;0;1;1;1;11,1;15,2;73,8;3,0;120,0;1592,0;1712,0;44693,0;4100,0;3,56;2011-02-07
39;2011-02-08;1;0;2;0;2;1;1;9,1;9,9;53,8;24,3;64,0;1466,0;1530,0;44693,0;4100,0;3,56;2011-02-08
40;2011-02-09;1;0;2;0;3;1;2;5,5;7,2;49,5;12,7;53,0;1552,0;1605,0;44693,0;4100,0;3,56;2011-02-09
41;2011-02-10;1;0;2;0;4;1;1;5,9;7,5;43,7;14,9;47,0;1491,0;1538,0;44693,0;4100,0;3,56;2011-02-10
42;2011-02-11;1;0;2;0;5;1;1;7,8;10,7;50,6;7,3;149,0;1597,0;1746,0;44693,0;4100,0;3,56;2011-02-11
43;2011-02-12;1;0;2;0;6;0;1;9,1;11,6;54,4;13,6;288,0;1184,0;1472,0;44693,0;4100,0;3,56;2011-02-12
44;2011-02-13;1;0;2;0;0;0;1;13,0;16,2;45,7;17,5;397,0;1192,0;1589,0;44693,0;4100,0;3,56;2011-02-13
45;2011-02-14;1;0;2;0;1;1;1;17,0;19,9;37,6;28,0;208,0;1705,0;1913,0;44693,0;4100,0;3,56;2011-02-14
46;2011-02-15;1;0;2;0;2;1;1;10,9;12,7;31,4;19,5;140,0;1675,0;1815,0;44693,0;4100,0;3,56;2011-02-15
47;2011-02-16;1;0;2;0;3;1;1;13,0;15,8;42,3;16,9;218,0;1897,0;2115,0;44693,0;4100,0;3,56;2011-02-16
48;2011-02-17;1;0;2;0;4;1;1;17,9;21,4;50,5;15,4;259,0;2216,0;2475,0;44693,0;4100,0;3,56;2011-02-17
49;2011-02-18;1;0;2;0;5;1;1;21,4;25,6;51,7;17,7;579,0;2348,0;2927,0;44693,0;4100,0;3,56;2011-02-18
50;2011-02-19;1;0;2;0;6;0;1;16,4;19,6;18,8;34,0;532,0;1103,0;1635,0;44693,0;4100,0;3,56;2011-02-19
51;2011-02-20;1;0;2;0;0;0;1;11,7;13,9;40,8;15,0;639,0;1173,0;1812,0;44693,0;4100,0;3,56;2011-02-20
52;2011-02-21;1;0;2;1;1;0;2;12,4;14,2;60,5;20,6;195,0;912,0;1107,0;44693,0;4100,0;3,56;2011-02-21
53;2011-02-22;1;0;2;0;2;1;1;7,5;9,3;57,8;13,1;74,0;1376,0;1450,0;44693,0;4100,0;3,56;2011-02-22
54;2011-02-23;1;0;2;0;3;1;1;9,1;12,3;42,3;6,3;139,0;1778,0;1917,0;44693,0;4100,0;3,56;2011-02-23
55;2011-02-24;1;0;2;0;4;1;2;12,1;14,5;69,7;16,8;100,0;1707,0;1807,0;44693,0;4100,0;3,56;2011-02-24
56;2011-02-25;1;0;2;0;5;1;2;14,9;17,5;71,2;23,2;120,0;1341,0;1461,0;44693,0;4100,0;3,56;2011-02-25
57;2011-02-26;1;0;2;0;6;0;1;11,6;14,1;53,8;12,5;424,0;1545,0;1969,0;44693,0;4100,0;3,56;2011-02-26
58;2011-02-27;1;0;2;0;0;0;1;14,1;17,6;68,0;8,4;694,0;1708,0;2402,0;44693,0;4100,0;3,56;2011-02-27
59;2011-02-28;1;0;2;0;1;1;2;16,7;20,0;87,6;19,4;81,0;1365,0;1446,0;44693,0;4100,0;3,56;2011-02-28
60;2011-03-01;1;0;3;0;2;1;1;10,9;13,2;53,5;14,5;137,0;1714,0;1851,0;44693,0;4100,0;4,02;2011-03-01
61;2011-03-02;1;0;3;0;3;1;1;13,7;16,0;45,0;20,6;231,0;1903,0;2134,0;44693,0;4100,0;4,02;2011-03-02
62;2011-03-03;1;0;3;0;4;1;1;8,1;10,0;31,8;15,1;123,0;1562,0;1685,0;44693,0;4100,0;4,02;2011-03-03
63;2011-03-04;1;0;3;0;5;1;2;10,7;12,8;61,0;13,6;214,0;1730,0;1944,0;44693,0;4100,0;4,02;2011-03-04
64;2011-03-05;1;0;3;0;6;0;2;15,8;18,9;78,9;16,9;640,0;1437,0;2077,0;44693,0;4100,0;4,02;2011-03-05
65;2011-03-06;1;0;3;0;0;0;2;15,4;18,3;94,8;23,0;114,0;491,0;605,0;44693,0;4100,0;4,02;2011-03-06
66;2011-03-07;1;0;3;0;1;1;1;10,7;11,9;55,1;22,9;244,0;1628,0;1872,0;44693,0;4100,0;4,02;2011-03-07
67;2011-03-08;1;0;3;0;2;1;1;12,0;15,1;42,1;8,1;316,0;1817,0;2133,0;44693,0;4100,0;4,02;2011-03-08
68;2011-03-09;1;0;3;0;3;1;2;12,1;14,3;77,5;14,8;191,0;1700,0;1891,0;44693,0;4100,0;4,02;2011-03-09
69;2011-03-10;1;0;3;0;4;1;3;16,0;19,3;0,0;17,5;46,0;577,0;623,0;44693,0;4100,0;4,02;2011-03-10
70;2011-03-11;1;0;3;0;5;1;2;13,0;15,3;65,0;15,6;247,0;1730,0;1977,0;44693,0;4100,0;4,02;2011-03-11
71;2011-03-12;1;0;3;0;6;0;1;13,5;16,3;59,5;14,8;724,0;1408,0;2132,0;44693,0;4100,0;4,02;2011-03-12
72;2011-03-13;1;0;3;0;0;0;1;15,8;19,0;52,7;18,1;982,0;1435,0;2417,0;44693,0;4100,0;4,02;2011-03-13
73;2011-03-14;1;0;3;0;1;1;1;13,3;16,6;49,7;9,2;359,0;1687,0;2046,0;44693,0;4100,0;4,02;2011-03-14
74;2011-03-15;1;0;3;0;2;1;2;13,0;15,9;65,6;12,3;289,0;1767,0;2056,0;44693,0;4100,0;4,02;2011-03-15
75;2011-03-16;1;0;3;0;3;1;2;15,0;18,3;77,7;13,6;321,0;1871,0;2192,0;44693,0;4100,0;4,02;2011-03-16
76;2011-03-17;1;0;3;0;4;1;1;17,0;20,5;60,3;14,0;424,0;2320,0;2744,0;44693,0;4100,0;4,02;2011-03-17
77;2011-03-18;1;0;3;0;5;1;1;22,1;26,4;52,5;15,5;884,0;2355,0;3239,0;44693,0;4100,0;4,02;2011-03-18
78;2011-03-19;1;0;3;0;6;0;1;19,4;23,3;37,9;24,7;1424,0;1693,0;3117,0;44693,0;4100,0;4,02;2011-03-19
79;2011-03-20;1;0;3;0;0;0;1;13,6;16,3;47,4;13,9;1047,0;1424,0;2471,0;44693,0;4100,0;4,02;2011-03-20
80;2011-03-21;2;0;3;0;1;1;2;17,6;20,5;73,7;19,3;401,0;1676,0;2077,0;44693,0;4100,0;4,02;2011-03-21
81;2011-03-22;2;0;3;0;2;1;1;18,1;22,0;62,5;15,1;460,0;2243,0;2703,0;44693,0;4100,0;4,02;2011-03-22
82;2011-03-23;2;0;3;0;3;1;2;14,2;16,9;84,0;15,7;203,0;1918,0;2121,0;44693,0;4100,0;4,02;2011-03-23
83;2011-03-24;2;0;3;0;4;1;2;11,7;13,5;80,6;16,3;166,0;1699,0;1865,0;44693,0;4100,0;4,02;2011-03-24
84;2011-03-25;2;0;3;0;5;1;1;10,8;12,8;49,5;15,5;300,0;1910,0;2210,0;44693,0;4100,0;4,02;2011-03-25
85;2011-03-26;2;0;3;0;6;0;1;10,9;12,9;39,4;14,0;981,0;1515,0;2496,0;44693,0;4100,0;4,02;2011-03-26
86;2011-03-27;2;0;3;0;0;0;2;10,4;12,5;49,4;12,3;472,0;1221,0;1693,0;44693,0;4100,0;4,02;2011-03-27
87;2011-03-28;2;0;3;0;1;1;1;10,8;12,9;30,2;14,2;222,0;1806,0;2028,0;44693,0;4100,0;4,02;2011-03-28
88;2011-03-29;2;0;3;0;2;1;1;12,4;14,6;31,4;15,2;317,0;2108,0;2425,0;44693,0;4100,0;4,02;2011-03-29
89;2011-03-30;2;0;3;0;3;1;2;12,3;14,9;64,7;11,6;168,0;1368,0;1536,0;44693,0;4100,0;4,02;2011-03-30
90;2011-03-31;2;0;3;0;4;1;3;11,0;12,9;91,8;14,6;179,0;1506,0;1685,0;44693,0;4100,0;4,02;2011-03-31
91;2011-04-01;2;0;4;0;5;1;2;12,3;14,2;68,6;17,3;307,0;1920,0;2227,0;44238,0;4000,0;4,04;2011-04-01
92;2011-04-02;2;0;4;0;6;0;2;12,9;15,8;65,4;13,2;898,0;1354,0;2252,0;44238,0;4000,0;4,04;2011-04-02
93;2011-04-03;2;0;4;0;0;0;1;15,5;18,9;48,0;12,2;1651,0;1598,0;3249,0;44238,0;4000,0;4,04;2011-04-03
94;2011-04-04;2;0;4;0;1;1;1;23,5;27,1;42,6;25,8;734,0;2381,0;3115,0;44238,0;4000,0;4,04;2011-04-04
95;2011-04-05;2;0;4;0;2;1;2;17,0;19,9;64,2;26,0;167,0;1628,0;1795,0;44238,0;4000,0;4,04;2011-04-05
96;2011-04-06;2;0;4;0;3;1;1;16,0;19,4;47,1;17,6;413,0;2395,0;2808,0;44238,0;4000,0;4,04;2011-04-06
97;2011-04-07;2;0;4;0;4;1;1;17,9;21,7;60,3;10,9;571,0;2570,0;3141,0;44238,0;4000,0;4,04;2011-04-07
98;2011-04-08;2;0;4;0;5;1;2;13,8;16,2;83,6;15,2;172,0;1299,0;1471,0;44238,0;4000,0;4,04;2011-04-08
99;2011-04-09;2;0;4;0;6;0;2;14,0;17,1;87,8;8,9;879,0;1576,0;2455,0;44238,0;4000,0;4,04;2011-04-09
100;2011-04-10;2;0;4;0;0;0;2;17,5;21,3;85,8;9,8;1188,0;1707,0;2895,0;44238,0;4000,0;4,04;2011-04-10
101;2011-04-11;2;0;4;0;1;1;2;24,4;28,3;71,7;21,7;855,0;2493,0;3348,0;44238,0;4000,0;4,04;2011-04-11
102;2011-04-12;2;0;4;0;2;1;2;20,6;24,7;73,9;18,4;257,0;1777,0;2034,0;44238,0;4000,0;4,04;2011-04-12
103;2011-04-13;2;0;4;0;3;1;2;16,9;20,9;81,9;16,8;209,0;1953,0;2162,0;44238,0;4000,0;4,04;2011-04-13
104;2011-04-14;2;0;4;0;4;1;1;19,2;23,1;54,0;7,4;529,0;2738,0;3267,0;44238,0;4000,0;4,04;2011-04-14
105;2011-04-15;2;0;4;1;5;0;1;18,3;22,1;67,1;15,2;642,0;2484,0;3126,0;44238,0;4000,0;4,04;2011-04-15
106;2011-04-16;2;0;4;0;6;0;3;17,7;21,3;88,8;22,8;121,0;674,0;795,0;44238,0;4000,0;4,04;2011-04-16
107;2011-04-17;2;0;4;0;0;0;1;18,7;22,3;48,0;20,3;1558,0;2186,0;3744,0;44238,0;4000,0;4,04;2011-04-17
108;2011-04-18;2;0;4;0;1;1;1;21,0;25,2;54,3;11,0;669,0;2760,0;3429,0;44238,0;4000,0;4,04;2011-04-18
109;2011-04-19;2;0;4;0;2;1;2;20,7;24,5;66,6;10,6;409,0;2795,0;3204,0;44238,0;4000,0;4,04;2011-04-19
110;2011-04-20;2;0;4;0;3;1;1;24,4;28,2;61,4;16,2;613,0;3331,0;3944,0;44238,0;4000,0;4,04;2011-04-20
111;2011-04-21;2;0;4;0;4;1;1;18,8;22,7;40,7;21,8;745,0;3444,0;4189,0;44238,0;4000,0;4,04;2011-04-21
112;2011-04-22;2;0;4;0;5;1;2;13,8;16,1;73,0;14,7;177,0;1506,0;1683,0;44238,0;4000,0;4,04;2011-04-22
113;2011-04-23;2;0;4;0;6;0;2;18,9;22,5;88,8;15,5;1462,0;2574,0;4036,0;44238,0;4000,0;4,04;2011-04-23
114;2011-04-24;2;0;4;0;0;0;2;23,8;27,6;81,1;12,9;1710,0;2481,0;4191,0;44238,0;4000,0;4,04;2011-04-24
115;2011-04-25;2;0;4;0;1;1;1;24,9;28,7;77,7;12,4;773,0;3300,0;4073,0;44238,0;4000,0;4,04;2011-04-25
116;2011-04-26;2;0;4;0;2;1;1;25,9;29,7;72,9;21,9;678,0;3722,0;4400,0;44238,0;4000,0;4,04;2011-04-26
117;2011-04-27;2;0;4;0;3;1;2;25,4;28,8;83,5;20,9;547,0;3325,0;3872,0;44238,0;4000,0;4,04;2011-04-27
118;2011-04-28;2;0;4;0;4;1;2;25,3;28,9;70,1;21,5;569,0;3489,0;4058,0;44238,0;4000,0;4,04;2011-04-28
119;2011-04-29;2;0;4;0;5;1;1;20,9;24,9;45,7;16,1;878,0;3717,0;4595,0;44238,0;4000,0;4,04;2011-04-29
120;2011-04-30;2;0;4;0;6;0;1;19,4;23,2;50,3;15,8;1965,0;3347,0;5312,0;44238,0;4000,0;4,04;2011-04-30
121;2011-05-01;2;0;5;0;0;0;2;18,5;22,4;76,2;7,1;1138,0;2213,0;3351,0;44238,0;4000,0;3,84;2011-05-01
122;2011-05-02;2;0;5;0;1;1;2;22,5;26,6;73,0;12,3;847,0;3554,0;4401,0;44238,0;4000,0;3,84;2011-05-02
123;2011-05-03;2;0;5;0;2;1;2;25,3;29,1;69,7;23,0;603,0;3848,0;4451,0;44238,0;4000,0;3,84;2011-05-03
124;2011-05-04;2;0;5;0;3;1;2;17,0;20,2;73,7;22,0;255,0;2378,0;2633,0;44238,0;4000,0;3,84;2011-05-04
125;2011-05-05;2;0;5;0;4;1;1;18,8;22,1;44,4;19,8;614,0;3819,0;4433,0;44238,0;4000,0;3,84;2011-05-05
126;2011-05-06;2;0;5;0;5;1;1;19,6;23,7;59,0;15,3;894,0;3714,0;4608,0;44238,0;4000,0;3,84;2011-05-06
127;2011-05-07;2;0;5;0;6;0;1;21,3;25,6;54,1;10,8;1612,0;3102,0;4714,0;44238,0;4000,0;3,84;2011-05-07
128;2011-05-08;2;0;5;0;0;0;1;21,7;25,9;63,2;5,0;1401,0;2932,0;4333,0;44238,0;4000,0;3,84;2011-05-08
129;2011-05-09;2;0;5;0;1;1;1;21,8;26,3;58,9;11,8;664,0;3698,0;4362,0;44238,0;4000,0;3,84;2011-05-09
130;2011-05-10;2;0;5;0;2;1;1;21,8;26,1;48,9;7,7;694,0;4109,0;4803,0;44238,0;4000,0;3,84;2011-05-10
131;2011-05-11;2;0;5;0;3;1;1;22,2;26,4;63,3;8,1;550,0;3632,0;4182,0;44238,0;4000,0;3,84;2011-05-11
132;2011-05-12;2;0;5;0;4;1;1;21,9;26,2;74,8;12,7;695,0;4169,0;4864,0;44238,0;4000,0;3,84;2011-05-12
133;2011-05-13;2;0;5;0;5;1;2;21,0;24,7;86,3;12,0;692,0;3413,0;4105,0;44238,0;4000,0;3,84;2011-05-13
134;2011-05-14;2;0;5;0;6;0;2;21,4;25,0;92,3;9,0;902,0;2507,0;3409,0;44238,0;4000,0;3,84;2011-05-14
135;2011-05-15;2;0;5;0;0;0;2;23,1;26,8;86,7;10,2;1582,0;2971,0;4553,0;44238,0;4000,0;3,84;2011-05-15
136;2011-05-16;2;0;5;0;1;1;1;23,7;27,5;78,8;8,5;773,0;3185,0;3958,0;44238,0;4000,0;3,84;2011-05-16
137;2011-05-17;2;0;5;0;2;1;2;23,0;26,9;83,8;18,6;678,0;3445,0;4123,0;44238,0;4000,0;3,84;2011-05-17
138;2011-05-18;2;0;5;0;3;1;2;22,6;26,4;87,0;13,5;536,0;3319,0;3855,0;44238,0;4000,0;3,84;2011-05-18
139;2011-05-19;2;0;5;0;4;1;2;21,8;25,5;83,0;7,3;735,0;3840,0;4575,0;44238,0;4000,0;3,84;2011-05-19
140;2011-05-20;2;0;5;0;5;1;1;22,0;26,5;72,0;8,4;909,0;4008,0;4917,0;44238,0;4000,0;3,84;2011-05-20
141;2011-05-21;2;0;5;0;6;0;1;24,7;28,6;62,7;8,1;2258,0;3547,0;5805,0;44238,0;4000,0;3,84;2011-05-21
142;2011-05-22;2;0;5;0;0;0;1;24,8;28,7;75,0;9,9;1576,0;3084,0;4660,0;44238,0;4000,0;3,84;2011-05-22
143;2011-05-23;2;0;5;0;1;1;2;25,9;29,5;81,0;15,7;836,0;3438,0;4274,0;44238,0;4000,0;3,84;2011-05-23
144;2011-05-24;2;0;5;0;2;1;2;27,1;30,2;74,1;13,9;659,0;3833,0;4492,0;44238,0;4000,0;3,84;2011-05-24
145;2011-05-25;2;0;5;0;3;1;1;27,1;30,8;69,6;10,3;740,0;4238,0;4978,0;44238,0;4000,0;3,84;2011-05-25
146;2011-05-26;2;0;5;0;4;1;1;29,0;32,7;67,8;13,4;758,0;3919,0;4677,0;44238,0;4000,0;3,84;2011-05-26
147;2011-05-27;2;0;5;0;5;1;1;27,9;31,9;65,4;16,1;871,0;3808,0;4679,0;44238,0;4000,0;3,84;2011-05-27
148;2011-05-28;2;0;5;0;6;0;1;26,9;30,6;73,0;15,4;2001,0;2757,0;4758,0;44238,0;4000,0;3,84;2011-05-28
149;2011-05-29;2;0;5;0;0;0;1;27,4;30,8;81,9;14,3;2355,0;2433,0;4788,0;44238,0;4000,0;3,84;2011-05-29
150;2011-05-30;2;0;5;1;1;0;1;30,1;33,6;68,5;8,8;1549,0;2549,0;4098,0;44238,0;4000,0;3,84;2011-05-30
151;2011-05-31;2;0;5;0;2;1;1;31,8;36,3;63,7;7,5;673,0;3309,0;3982,0;44238,0;4000,0;3,84;2011-05-31
152;2011-06-01;2;0;6;0;3;1;2;31,3;36,0;67,7;13,9;513,0;3461,0;3974,0;44238,0;4000,0;3,41;2011-06-01
153;2011-06-02;2;0;6;0;4;1;1;29,3;32,2;30,5;19,6;736,0;4232,0;4968,0;44238,0;4000,0;3,41;2011-06-02
154;2011-06-03;2;0;6;0;5;1;1;25,4;29,4;35,4;17,0;898,0;4414,0;5312,0;44238,0;4000,0;3,41;2011-06-03
155;2011-06-04;2;0;6;0;6;0;1;26,0;29,7;45,6;8,3;1869,0;3473,0;5342,0;44238,0;4000,0;3,41;2011-06-04
156;2011-06-05;2;0;6;0;0;0;2;26,6;30,8;65,3;9,3;1685,0;3221,0;4906,0;44238,0;4000,0;3,41;2011-06-05
157;2011-06-06;2;0;6;0;1;1;1;27,8;31,1;60,0;8,2;673,0;3875,0;4548,0;44238,0;4000,0;3,41;2011-06-06
158;2011-06-07;2;0;6;0;2;1;1;29,0;32,8;59,8;12,6;763,0;4070,0;4833,0;44238,0;4000,0;3,41;2011-06-07
159;2011-06-08;2;0;6;0;3;1;1;31,8;36,4;62,2;9,2;676,0;3725,0;4401,0;44238,0;4000,0;3,41;2011-06-08
160;2011-06-09;2;0;6;0;4;1;2;33,1;37,9;56,8;10,0;563,0;3352,0;3915,0;44238,0;4000,0;3,41;2011-06-09
161;2011-06-10;2;0;6;0;5;1;1;31,0;35,2;60,5;9,4;815,0;3771,0;4586,0;44238,0;4000,0;3,41;2011-06-10
162;2011-06-11;2;0;6;0;6;0;1;29,7;33,9;65,5;10,4;1729,0;3237,0;4966,0;44238,0;4000,0;3,41;2011-06-11
163;2011-06-12;2;0;6;0;0;0;1;28,4;32,2;74,8;11,0;1467,0;2993,0;4460,0;44238,0;4000,0;3,41;2011-06-12
164;2011-06-13;2;0;6;0;1;1;1;26,0;30,1;49,5;20,5;863,0;4157,0;5020,0;44238,0;4000,0;3,41;2011-06-13
165;2011-06-14;2;0;6;0;2;1;1;24,8;29,6;50,7;18,0;727,0;4164,0;4891,0;44238,0;4000,0;3,41;2011-06-14
166;2011-06-15;2;0;6;0;3;1;1;25,7;29,4;47,2;11,3;769,0;4411,0;5180,0;44238,0;4000,0;3,41;2011-06-15
167;2011-06-16;2;0;6;0;4;1;2;25,8;29,8;68,8;13,8;545,0;3222,0;3767,0;44238,0;4000,0;3,41;2011-06-16
168;2011-06-17;2;0;6;0;5;1;1;26,6;30,0;73,6;9,6;863,0;3981,0;4844,0;44238,0;4000,0;3,41;2011-06-17
169;2011-06-18;2;0;6;0;6;0;1;28,6;32,2;67,0;8,0;1807,0;3312,0;5119,0;44238,0;4000,0;3,41;2011-06-18
170;2011-06-19;2;0;6;0;0;0;2;28,7;32,3;66,7;6,8;1639,0;3105,0;4744,0;44238,0;4000,0;3,41;2011-06-19
171;2011-06-20;2;0;6;0;1;1;2;26,0;29,8;74,6;10,4;699,0;3311,0;4010,0;44238,0;4000,0;3,41;2011-06-20
172;2011-06-21;3;0;6;0;2;1;2;27,9;31,9;77,0;11,5;774,0;4061,0;4835,0;44238,0;4000,0;3,41;2011-06-21
173;2011-06-22;3;0;6;0;3;1;1;30,1;34,7;70,8;11,5;661,0;3846,0;4507,0;44238,0;4000,0;3,41;2011-06-22
174;2011-06-23;3;0;6;0;4;1;2;29,9;34,7;70,3;16,0;746,0;4044,0;4790,0;44238,0;4000,0;3,41;2011-06-23
175;2011-06-24;3;0;6;0;5;1;1;29,7;32,8;57,3;14,9;969,0;4022,0;4991,0;44238,0;4000,0;3,41;2011-06-24
176;2011-06-25;3;0;6;0;6;0;1;28,5;32,2;48,3;14,0;1782,0;3420,0;5202,0;44238,0;4000,0;3,41;2011-06-25
177;2011-06-26;3;0;6;0;0;0;1;27,9;31,9;51,3;6,3;1920,0;3385,0;5305,0;44238,0;4000,0;3,41;2011-06-26
178;2011-06-27;3;0;6;0;1;1;2;28,0;31,9;65,8;7,2;854,0;3854,0;4708,0;44238,0;4000,0;3,41;2011-06-27
179;2011-06-28;3;0;6;0;2;1;1;30,5;34,6;63,4;9,7;732,0;3916,0;4648,0;44238,0;4000,0;3,41;2011-06-28
180;2011-06-29;3;0;6;0;3;1;1;29,9;32,7;49,8;17,5;848,0;4377,0;5225,0;44238,0;4000,0;3,41;2011-06-29
181;2011-06-30;3;0;6;0;4;1;1;28,6;31,9;43,4;12,4;1027,0;4488,0;5515,0;44238,0;4000,0;3,41;2011-06-30
182;2011-07-01;3;0;7;0;5;1;1;29,6;32,6;39,6;6,9;1246,0;4116,0;5362,0;44011,0;4000,0;3,15;2011-07-01
183;2011-07-02;3;0;7;0;6;0;1;30,3;33,4;44,5;7,7;2204,0;2915,0;5119,0;44011,0;4000,0;3,15;2011-07-02
184;2011-07-03;3;0;7;0;0;0;2;29,4;33,4;68,3;15,3;2282,0;2367,0;4649,0;44011,0;4000,0;3,15;2011-07-03
185;2011-07-04;3;0;7;1;1;0;2;29,8;33,3;63,8;5,5;3065,0;2978,0;6043,0;44011,0;4000,0;3,15;2011-07-04
